"uid"	"qRad"	"qLat"	"qLong"	"qString"	"block"	"isDone"	"timLocs"
"35201969"	164.157269000157	43.73759	-79.5046	"43.73759,-79.5046"	43	FALSE	""
"35470305"	453.933677914178	45.48587	-77.68473	"45.48587,-77.68473"	43	FALSE	""
"35260668"	233.67632547868	42.88695	-79.24256	"42.88695,-79.24256"	43	FALSE	""
"35210311"	178.280111453644	43.61108	-79.61206	"43.61108,-79.61206"	43	FALSE	""
"35203843"	166.085753795906	43.6602	-79.44081	"43.6602,-79.44081"	43	FALSE	""
"35510095"	5748.636222301	45.82321	-82.18004	"45.82321,-82.18004"	43	FALSE	""
"24480043"	2057.45537770709	45.65665	-72.543	"45.65665,-72.543"	43	FALSE	""
"48020370"	1413.26718429625	49.69508	-112.90578	"49.69508,-112.90578"	43	FALSE	""
"35390738"	1176.32291195062	42.9561	-81.44703	"42.9561,-81.44703"	43	FALSE	""
"24250057"	216.876077492263	46.7208	-71.27671	"46.7208,-71.27671"	43	FALSE	""
"35191218"	234.519132454272	43.87855	-79.36924	"43.87855,-79.36924"	43	FALSE	""
"24230680"	270.382369806376	46.84517	-71.35021	"46.84517,-71.35021"	43	FALSE	""
"24661277"	152.453526019518	45.50946	-73.5764	"45.50946,-73.5764"	43	FALSE	""
"24670003"	164.780956456825	45.41399	-73.46563	"45.41399,-73.46563"	43	FALSE	""
"35240861"	234.698390416215	43.4933	-79.70312	"43.4933,-79.70312"	43	FALSE	""
"11020220"	2733.62999527687	46.47101	-63.48146	"46.47101,-63.48146"	43	FALSE	""
"35430687"	337.018083236643	44.34577	-79.71337	"44.34577,-79.71337"	43	FALSE	""
"59153371"	104.395527940183	49.27924	-123.13484	"49.27924,-123.13484"	43	FALSE	""
"35204282"	214.712935176749	43.80417	-79.31583	"43.80417,-79.31583"	43	FALSE	""
"24680043"	2828.45825292288	45.20755	-73.63427	"45.20755,-73.63427"	43	FALSE	""
"24710028"	227.220794690807	45.39884	-74.03752	"45.39884,-74.03752"	43	FALSE	""
"12090231"	833.433602274209	44.66986	-63.62156	"44.66986,-63.62156"	43	FALSE	""
"35300944"	773.919531023447	43.47611	-80.58979	"43.47611,-80.58979"	43	FALSE	""
"24230501"	261.744679070696	46.79998	-71.35624	"46.79998,-71.35624"	43	FALSE	""
"35250508"	264.326700311399	43.24894	-79.8972	"43.24894,-79.8972"	43	FALSE	""
"35204053"	270.210486294771	43.72803	-79.30866	"43.72803,-79.30866"	43	FALSE	""
"35210222"	169.76924957282	43.66046	-79.75289	"43.66046,-79.75289"	43	FALSE	""
"24230638"	240.435405542548	46.75706	-71.30174	"46.75706,-71.30174"	43	FALSE	""
"35230356"	531.239871993881	43.62132	-80.14183	"43.62132,-80.14183"	43	FALSE	""
"24610078"	1439.12113819561	46.06069	-73.45745	"46.06069,-73.45745"	43	FALSE	""
"24663141"	382.266073153783	45.50882	-73.79692	"45.50882,-73.79692"	43	FALSE	""
"59170112"	219.420145939286	48.47463	-123.37011	"48.47463,-123.37011"	43	FALSE	""
"35212102"	331.816832049252	43.54365	-79.67246	"43.54365,-79.67246"	43	FALSE	""
"35410180"	886.157496336811	44.49334	-81.35946	"44.49334,-81.35946"	43	FALSE	""
"12090602"	1071.13376061553	44.86133	-63.60222	"44.86133,-63.60222"	43	FALSE	""
